Marca temporal," P1. Der Tutor passte sich meinem Lerntempo an (ich konnte schneller oder langsamer arbeiten, je nach Bedarf). "," P2. Wenn ich etwas nicht verstanden habe, gab mir der Tutor zusätzliche Erklärungen oder alternative Beispiele. "," P3. Ich hatte das Gefühl, dass der Tutor auf MEINE spezifischen Bedürfnisse einging (es war nicht für alle gleich). "," P4. Ich konnte meine Fragen klären, ohne die Hilfe der Lehrkraft zu brauchen. "," P5. Ich fühlte mich in der Lage, mit dem Tutor selbstständig zu lernen. "," P6. Der Tutor ermöglichte mir, in meinem eigenen Tempo zu arbeiten, ohne von der Gruppe abhängig zu sein. "," P7. Es war leicht zu verstehen, wie man den Tutor von Anfang an benutzt. "," P8. Die Erklärungen des Tutors waren klar und halfen mir, das Thema zu verstehen. ", P9. Ich lerne lieber mit diesem Tutor als im traditionellen Unterricht. , P10. Ich würde diesen Tutor gern auch für andere Themen des Kurses weiter nutzen. , P11. Wie oft musstest du während der Sitzung ungefähr die Lehrkraft um Hilfe bitten? ," P12. Wenn du dieses Thema noch einmal lernen würdest, was würdest du bevorzugen?* "," Verarbeitung der Daten, Zustimmung zur DSGVO* "
12/17/2025 15:05:07,3,2,3,3,3,3,3,3,3,3,0 mal,Dieser KI-Tutor,Ich stimme zu
12/17/2025 15:07:19,3,4,3,4,5,5,1,3,3,2,0 mal,Dieser KI-Tutor,Ich stimme zu
12/17/2025 15:07:54,3,4,3,5,2,3,4,2,2,3,0 mal,"Halb traditioneller Unterricht, halb Tutor",Ich stimme zu
12/17/2025 15:09:34,2,3,4,3,3,3,3,4,5,4,3-5 mal,Dieser KI-Tutor,Ich stimme zu
12/17/2025 15:09:44,3,2,3,5,2,2,2,3,1,4,0 mal,"Halb traditioneller Unterricht, halb Tutor",Ich stimme zu
12/17/2025 15:10:05,4,5,4,4,5,5,5,3,3,5,0 mal,Dieser KI-Tutor,Ich stimme zu
12/17/2025 15:10:31,3,5,4,5,3,4,5,5,1,2,0 mal,Traditioneller Unterricht mit erklärender Lehrkraft,Ich stimme zu
12/17/2025 15:13:37,3,3,2,3,3,3,3,3,3,3,1-2 mal,Ist mir egal,Ich stimme zu
12/17/2025 15:13:46,4,2,3,3,3,3,3,4,4,3,0 mal,Dieser KI-Tutor,Ich stimme zu
12/17/2025 15:14:21,4,3,3,4,4,2,4,3,3,3,0 mal,Ist mir egal,Ich stimme zu
12/17/2025 15:32:09,3,4,4,4,3,3,3,3,3,3,3-5 mal,Dieser KI-Tutor,Ich stimme zu
12/17/2025 15:35:13,4,4,3,2,4,5,5,3,1,3,0 mal,Ist mir egal,Ich stimme zu
12/17/2025 15:42:55,4,4,4,4,4,4,4,4,4,4,1-2 mal,Traditioneller Unterricht mit erklärender Lehrkraft,Ich stimme zu
